add-yield-none,2,10,40,26633103,665827,0
add-yield-none,4,10,80,54348891,679361,0
add-yield-none,8,10,160,60222129,376388,0
add-yield-none,12,10,240,65432842,272636,1
add-yield-none,2,20,80,34706716,433833,0
add-yield-none,4,20,160,33588845,209930,0
add-yield-none,8,20,320,65187893,203712,0
add-yield-none,12,20,480,66503652,138549,0
add-yield-none,2,40,160,24549931,153437,0
add-yield-none,4,40,320,35285320,110266,0
add-yield-none,8,40,640,39259112,61342,0
add-yield-none,12,40,960,46170403,48094,0
add-yield-none,2,80,320,34300384,107188,0
add-yield-none,4,80,640,41401574,64689,0
add-yield-none,8,80,1280,39272502,30681,0
add-yield-none,12,80,1920,45190683,23536,0
add-yield-none,2,100,400,40241490,100603,0
add-none,2,100,400,13969760,34924,0
add-yield-none,4,100,800,36196202,45245,6
add-yield-none,8,100,1600,45296985,28310,0
add-none,8,100,1600,28171633,17607,6
add-yield-none,12,100,2400,40372994,16822,0
add-yield-none,2,1000,4000,37259376,9314,0
add-none,2,1000,4000,24795154,6198,0
add-yield-none,4,1000,8000,48020810,6002,0
add-yield-none,8,1000,16000,52927623,3307,0
add-none,8,1000,16000,21700709,1356,-447
add-yield-none,12,1000,24000,95108683,3962,-16
add-yield-none,2,10000,40000,92279502,2306,-6891
add-none,2,10000,40000,22916767,572,0
add-yield-none,4,10000,80000,153704759,1921,-6151
add-yield-none,8,10000,160000,194848344,1217,-7249
add-none,8,10000,160000,30046984,187,-2832
add-yield-none,12,10000,240000,185809015,774,-10916
add-yield-none,2,100000,400000,796575764,1991,-39431
add-none,2,100000,400000,22266711,55,0
add-yield-none,4,100000,800000,1125738120,1407,-50852
add-yield-none,8,100000,1600000,1129482536,705,-32619
add-none,8,100000,1600000,32428807,20,-58534
add-yield-none,12,100000,2400000,1153746336,480,-43302
add-none,1,10,20,224733,11236,0
add-none,2,10,40,212678,5316,0
add-none,4,10,80,720039,9000,0
add-none,8,10,160,799675,4997,0
add-none,12,10,240,2174359,9059,0
add-none,1,20,40,401081,10027,0
add-none,2,20,80,261864,3273,0
add-none,4,20,160,763744,4773,0
add-none,8,20,320,8246587,25770,0
add-none,12,20,480,7006410,14596,0
add-none,1,40,80,395978,4949,0
add-none,2,40,160,555972,3474,0
add-none,4,40,320,391136,1222,0
add-none,8,40,640,489498,764,0
add-none,12,40,960,810082,843,0
add-none,1,80,160,367882,2299,0
add-none,2,80,320,392711,1227,0
add-none,4,80,640,459033,717,0
add-none,8,80,1280,1260263,984,0
add-none,12,80,1920,1071124,557,0
add-none,1,100,200,150324,751,0
add-none,4,100,800,426049,532,0
add-none,12,100,2400,1693918,705,0
add-none,1,1000,2000,338119,169,0
add-none,4,1000,8000,336394,42,-53
add-none,12,1000,24000,1579043,65,63
add-none,1,10000,20000,441918,22,0
add-none,4,10000,80000,1593696,19,1668
add-none,12,10000,240000,6424931,26,-7061
add-none,1,100000,200000,2810787,14,0
add-none,4,100000,800000,15193681,18,-33245
add-none,12,100000,2400000,47074639,19,-30728
add-yield-m,2,10000,40000,121103341,3027,0
add-yield-m,4,10000,80000,446068819,5575,0
add-yield-m,8,10000,160000,884843658,5530,0
add-yield-m,12,10000,240000,1489216051,6205,0
add-yield-c,2,10000,40000,81080014,2027,0
add-yield-c,4,10000,80000,94177717,1177,0
add-yield-c,8,10000,160000,336727972,2104,0
add-yield-c,12,10000,240000,598407350,2493,0
add-yield-s,2,1000,4000,5814218,1453,0
add-yield-s,4,1000,8000,27868358,3483,0
add-yield-s,8,1000,16000,176781978,11048,0
add-yield-s,12,1000,24000,1402146093,58422,0
add-yield-s,2,10000,40000,192729778,4818,0
add-yield-s,4,10000,80000,310937498,3886,0
add-yield-s,8,10000,160000,1028976645,6431,0
add-yield-s,12,10000,240000,13275108114,55312,0
add-m,1,10000,20000,1121947,56,0
add-m,2,10000,40000,42072370,1051,0
add-m,4,10000,80000,65900220,823,0
add-m,8,10000,160000,60526389,378,0
add-m,12,10000,240000,91587961,381,0
add-c,1,10000,20000,12879028,643,0
add-c,2,10000,40000,7064775,176,0
add-c,4,10000,80000,26865890,335,0
add-c,8,10000,160000,25401514,158,0
add-c,12,10000,240000,39538018,164,0
add-s,1,1000,2000,1106223,553,0
add-s,2,1000,4000,1075379,268,0
add-s,4,1000,8000,1687176,210,0
add-s,8,1000,16000,5185558,324,0
add-s,12,1000,24000,9210356,383,0
add-s,1,10000,20000,9117784,455,0
add-s,2,10000,40000,13252331,331,0
add-s,4,10000,80000,26267071,328,0
add-s,8,10000,160000,61622689,385,0
add-s,12,10000,240000,90850524,378,0
